P::GLOBAL::COS,1,1.0,11.28,CreateString_v2:1.0:11.28
NAIVE::LOCAL,1,0.25,1.67,Decrement:0.25:1.67
GLOBAL::AS,1,0.25,1.67,Decrement:0.25:1.67
P::GLOBAL::AS,1,0.25,1.67,Decrement:0.25:1.67
P::GLOBAL::AS::GOAL,1,0.25,1.67,Decrement:0.25:1.67
P::LOCAL::COS::GOAL,1,0.25,1.67,Decrement:0.25:1.67
NAIVE::LOCAL,1,1.0,2.78,MathFunction_v2:1.0:2.78
GLOBAL::COS,1,1.0,2.78,MathFunction_v2:1.0:2.78
P::GLOBAL::AS::GOAL,1,1.0,2.78,MathFunction_v2:1.0:2.78
P::GLOBAL::COS::GOAL,1,1.0,2.78,MathFunction_v2:1.0:2.78
P::LOCAL::AS::GOAL,1,1.0,2.78,MathFunction_v2:1.0:2.78
P::LOCAL::COS::GOAL,1,1.0,2.78,MathFunction_v2:1.0:2.78
RANDOM::BASELINE,1,1.0,0.58,PrimitiveDataTypes_v2:1.0:0.58
NAIVE::LOCAL,1,1.0,4.7,OperatorExample_v2:1.0:4.7
GLOBAL::AS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
GLOBAL::COS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
LOCAL::AS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
LOCAL::COS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
P::GLOBAL::AS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
P::LOCAL::AS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
P::LOCAL::COS,1,1.0,4.7,OperatorExample_v2:1.0:4.7
P::GLOBAL::AS::GOAL,1,1.0,4.7,OperatorExample_v2:1.0:4.7
P::GLOBAL::COS::GOAL,1,0.75,11.47,ifelse2_v2:0.75:11.47
P::LOCAL::AS::GOAL,1,1.0,4.7,OperatorExample_v2:1.0:4.7
P::LOCAL::COS::GOAL,1,1.0,4.7,OperatorExample_v2:1.0:4.7
NAIVE::LOCAL,1,0.25,0,MathFunction_v2:0.25:0
GLOBAL::COS,1,0.25,0,MathFunction_v2:0.25:0
LOCAL::AS,1,0.25,0,MathFunction_v2:0.25:0
P::GLOBAL::AS,1,0.25,0,MathFunction_v2:0.25:0
P::GLOBAL::COS,1,0.25,0,MathFunction_v2:0.25:0
P::GLOBAL::AS::GOAL,1,0.25,0,MathFunction_v2:0.25:0
P::GLOBAL::COS::GOAL,1,0.25,0,MathFunction_v2:0.25:0
P::LOCAL::AS::GOAL,1,0.25,0,MathFunction_v2:0.25:0
NAIVE::LOCAL,1,0.0,3.34,CreateString_v2:0.0:3.34
GLOBAL::AS,1,0.0,8.69,substring_v2:0.0:8.69
GLOBAL::COS,1,0.0,0.79,HelloWorld2_v2:0.0:0.79
LOCAL::AS,3,0.0,1.43,string_length_v2:0.0:1.43
LOCAL::AS,3,0.0,8.69,substring_v2:0.0:8.69
LOCAL::AS,3,0.0,3.34,CreateString_v2:0.0:3.34
LOCAL::COS,2,0.0,1.43,string_length_v2:0.0:1.43
LOCAL::COS,2,0.0,3.34,CreateString_v2:0.0:3.34
P::GLOBAL::AS,3,0.0,5.04,variables2_v2:0.0:5.04
P::GLOBAL::AS,3,0.0,8.69,substring_v2:0.0:8.69
P::GLOBAL::AS,3,0.0,1.43,string_length_v2:0.0:1.43
P::GLOBAL::COS,2,0.0,5.04,variables2_v2:0.0:5.04
P::GLOBAL::COS,2,0.0,8.69,substring_v2:0.0:8.69
P::LOCAL::AS,3,0.0,1.43,string_length_v2:0.0:1.43
P::LOCAL::AS,3,0.0,8.69,substring_v2:0.0:8.69
P::LOCAL::AS,3,0.0,3.34,CreateString_v2:0.0:3.34
P::LOCAL::COS,2,0.0,8.69,substring_v2:0.0:8.69
P::LOCAL::COS,2,0.0,1.43,string_length_v2:0.0:1.43
P::GLOBAL::AS::GOAL,1,0.0,8.69,substring_v2:0.0:8.69
NAIVE::LOCAL,1,0.0,15.93,thisReference:0.0:15.93
GLOBAL::COS,1,0.0,15.93,thisReference:0.0:15.93
P::GLOBAL::AS,1,0.0,15.93,thisReference:0.0:15.93
P::GLOBAL::COS,1,0.0,15.93,thisReference:0.0:15.93
P::LOCAL::AS,1,0.0,15.93,thisReference:0.0:15.93
P::LOCAL::COS,1,0.0,15.93,thisReference:0.0:15.93
P::GLOBAL::AS::GOAL,1,0.0,15.93,thisReference:0.0:15.93
P::GLOBAL::COS::GOAL,1,0.0,15.93,thisReference:0.0:15.93
P::LOCAL::AS::GOAL,1,0.0,15.93,thisReference:0.0:15.93
P::LOCAL::COS::GOAL,1,0.0,15.93,thisReference:0.0:15.93
GLOBAL::AS,1,0.0,0.87,using_array_v2:0.0:0.87
LOCAL::AS,1,0.0,0.87,using_array_v2:0.0:0.87
RANDOM::BASELINE,1,1.0,2.03,create_2d_array_v2:1.0:2.03
NAIVE::LOCAL,5,0.0,1.75,use_2darray_v2:0.0:1.75
NAIVE::LOCAL,5,1.0,2.03,create_2d_array_v2:1.0:2.03
NAIVE::LOCAL,5,1.0,9.22,array_declaration_v2:1.0:9.22
